city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
,eu-eeas-sanctions.108437,2018-05-01 01:10:18.858614,,,,,,SY,SYR,,2018-04-12 07:37:54.462196
,eu-eeas-sanctions.107689,2018-05-01 01:10:19.058536,,,,,,SY,SYR,,2018-04-12 07:37:54.218894
,eu-eeas-sanctions.109426,2018-05-01 01:10:19.237454,,,,,,CF,CAF,,2018-04-12 07:37:56.302410
Kafia Kingi,eu-eeas-sanctions.109426,2018-05-01 01:10:19.253994,,,,,,SD,SDN,,2018-04-12 07:37:56.319217
Kafia Kingi,eu-eeas-sanctions.109405,2018-05-01 01:10:19.784441,,,,,,SD,SDN,,2018-04-12 07:38:09.002390
Sana’a,eu-eeas-sanctions.110891,2018-05-01 01:10:20.125893,,,,,,YE,YEM,,2018-04-12 07:37:57.969804
,eu-eeas-sanctions.110891,2018-05-01 01:10:20.142507,,,,,,YE,YEM,,2018-04-12 07:37:57.986646
,eu-eeas-sanctions.112314,2018-05-01 01:10:20.588271,,,,,,VN,VNM,,2018-04-12 07:38:02.132091
Damascus,eu-eeas-sanctions.115965,2018-05-01 01:10:21.485432,,,,31983,,,,,2018-04-12 07:38:06.798366
Tirana,eu-eeas-sanctions.1982,2018-05-01 01:09:56.756924,,,,"Irfan Tomini Street, 58",,AL,ALB,,2018-04-12 07:35:52.582509
Mortara (PV),eu-eeas-sanctions.1127,2018-05-01 01:09:57.132234,,,,"Via Porte Giove, 1 (domicile)",,IT,ITA,,2018-04-12 07:35:52.826529
"Punta, Santa Ana, Manila",eu-eeas-sanctions.5261,2018-05-01 01:10:01.877693,,,,3111 Ma. Bautista,,PH,PHL,,2018-04-12 07:36:11.613887
Doha,eu-eeas-sanctions.5339,2018-05-01 01:10:02.550427,,,,,,QA,QAT,,2018-04-12 07:36:10.613265
Tehran,eu-eeas-sanctions.5283,2018-05-01 01:10:02.742754,,,,P.O. Box 18575-365,,IR,IRN,,2018-04-12 07:36:09.529483
Kinshasa,eu-eeas-sanctions.4686,2018-05-01 01:10:03.117840,,,,,,CD,COD,,2018-04-12 07:36:09.279536
Teheran,eu-eeas-sanctions.5740,2018-05-01 01:10:04.076864,,,,153 Gheytariyeh Avenue - 3rd Floor - PO BOX 17665/1536,19389,,,,2018-04-12 07:36:16.489232
Kangdong,eu-eeas-sanctions.5813,2018-05-01 01:10:04.293590,,,,,,KP,PRK,,2018-04-12 07:36:18.072638
Monastir,eu-eeas-sanctions.6072,2018-05-01 01:10:04.893973,,,,avenue Hédi Nouira,,TN,TUN,,2018-04-12 07:36:27.072661
Tunis,eu-eeas-sanctions.6091,2018-05-01 01:10:04.902329,,,,5 Rue El Montazah - Sidi Bousaid,,TN,TUN,,2018-04-12 07:36:20.522818
Tunis,eu-eeas-sanctions.6075,2018-05-01 01:10:05.131007,,,,Rue du Lac Turkana-Les Berges du Lac - Apartment block Amine El Bouhaira,,TN,TUN,,2018-04-12 07:36:19.180935
Tripoli,eu-eeas-sanctions.6139,2018-05-01 01:10:05.761166,,,,"Hay Alandalus – Jian St.
1101",,LY,LBY,,2018-04-12 07:36:27.528243
Hammam - Sousse,eu-eeas-sanctions.6048,2018-05-01 01:10:05.823546,,,,Chouket El Arressa,,TN,TUN,,2018-04-12 07:36:26.039402
Bailly Romainvilliers (77),eu-eeas-sanctions.6048,2018-05-01 01:10:05.841861,,,,14 Esplanade des Guinandiers,,FR,FRA,,2018-04-12 07:36:26.106051
,eu-eeas-sanctions.6440,2018-05-01 01:10:06.415377,,,,,,MY,MYS,,2018-04-12 07:36:24.689306
Tehran,eu-eeas-sanctions.6404,2018-05-01 01:10:06.607022,,,,"67 Ashtian Tablo, Ghods mirheydari St, Yoosefabad",,IR,IRN,,2018-04-12 07:36:25.978940
"Road Town, Tortola",eu-eeas-sanctions.6262,2018-05-01 01:10:06.849310,,,,"Woodbourne Hall
3162",,VG,VGB,,2018-04-12 07:36:19.344000
South Jakarta,eu-eeas-sanctions.6494,2018-05-01 01:10:07.032302,,,,"Jalan M. Saidi RT 010 RW 001 Pesanggrahan, South Petukangan",,ID,IDN,,2018-04-12 07:36:33.881055
Banten,eu-eeas-sanctions.6494,2018-05-01 01:10:07.095333,,,,"Jalan Nakula of Witana Harja Complex Block C, Pamulang",,ID,IDN,,2018-04-12 07:36:33.894880
,eu-eeas-sanctions.7570,2018-05-01 01:10:17.085830,,,,,,,,,2018-04-12 07:37:48.050709
Islamabad,eu-eeas-sanctions.1104,2018-05-01 01:09:56.736935,,,,"House No 279, Nazimuddin Road, F-10/1",,PK,PAK,,2018-04-12 07:35:52.693142
Maysan,eu-eeas-sanctions.2120,2018-05-01 01:09:57.133806,,,,,,IQ,IRQ,,2018-04-12 07:35:54.383150
,eu-eeas-sanctions.1922,2018-05-01 01:09:57.315233,,,,,,IQ,IRQ,,2018-04-12 07:35:53.417247
Baghdad,eu-eeas-sanctions.2167,2018-05-01 01:09:58.637966,,,,"Al Ljtimai Building, Jumhuriya St. (Al Khullani Square), P.O. Box 5948",,IQ,IRQ,,2018-04-12 07:35:55.110433
Baghdad,eu-eeas-sanctions.2167,2018-05-01 01:09:58.704862,,,,"235/306 Husam Aldin St., near Al-Fateh Square",,IQ,IRQ,,2018-04-12 07:35:55.135177
Baghdad,eu-eeas-sanctions.2177,2018-05-01 01:09:59.055178,,,,"P.O. Box 2218, Camp Sarah",,IQ,IRQ,,2018-04-12 07:35:54.301989
Esfahan,eu-eeas-sanctions.6682,2018-05-01 01:10:08.233506,,,,"Kahorz Blvd [Unit 7, 3rd Floor Mehdi Building]",,IR,IRN,,2018-04-12 07:36:37.673725
Tehran,eu-eeas-sanctions.6693,2018-05-01 01:10:08.392068,,,,"101 West Zardosht Street, 3rd Floor",14157,,,,2018-04-12 07:36:41.823652
Tehran,eu-eeas-sanctions.6693,2018-05-01 01:10:08.408669,,,,139 Hoveyzeh Street,15337,,,,2018-04-12 07:36:41.937187
