entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
us-ofac.985ca9fc9e1a9efcfbc0ff169e7f6a8a58a09cd3,,2018-05-03 10:54:34.603559,"Villa de Alvarez, Colima, Mexico",,,strong,2018-04-12 06:13:59.676383
us-ofac.5c8dfc5c4f650004152eb05baf498adf25e082db,,2018-05-03 10:54:37.594607,"Hidalgo del Parral, Chihuahua, Mexico",,,strong,2018-04-12 06:14:00.399406
us-ofac.5e2eb02a70620d8bb7040257285008500c14ae4c,,2018-05-03 10:54:44.002642,"Saucillo, Chihuahua, Mexico",,,strong,2018-04-12 06:14:02.269235
us-ofac.c671c774564e00eed7de7b5e586f064eb0d62838,,2018-05-03 10:54:44.747750,"Tartus, Syria",,,strong,2018-04-12 06:13:59.973061
us-ofac.61f890df7918e1418c1a72acbcba1b9d47c47aea,,2018-05-03 10:54:52.044435,"Minya, Egypt",,,strong,2018-04-12 06:14:02.383736
us-ofac.eaf868478dd1636e79d4e1086255e930a97523b1,,2018-05-03 10:55:24.587804,"Baghdad, Iraq",,,weak,2018-04-12 06:14:02.882357
us-ofac.eaf868478dd1636e79d4e1086255e930a97523b1,,2018-05-03 10:55:24.674224,"Dayr Az-Zawr, Syria",,,strong,2018-04-12 06:14:02.898995
us-ofac.1d9617bbedbcb7b66e1d2a8db7c74358d2855957,,2018-05-03 10:55:35.526541,"Altstatten, SG, Switzerland",,,strong,2018-04-12 06:14:02.524643
us-ofac.979883d743a9e6503caa8a4489805b722de6e529,,2018-05-03 10:56:02.530135,"Bogota, Colombia",,,strong,2018-04-12 06:14:02.723373
us-ofac.e37c511a01ae653cf38179c6cb79c3016dd4f17f,,2018-05-03 10:56:05.296618,"San Jacinto, Bolivar, Colombia",,,strong,2018-04-12 06:14:02.990914
us-ofac.41a875cc4d3149aced2da0be9be191e6bce869ea,,2018-05-03 10:56:18.762948,"El Aguila, Valle, Colombia",,,strong,2018-04-12 06:14:04.502562
